fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
2005-11-16,04:20:19.00,-5.4688,-80.8342,41,4.5
2005-11-17,07:28:42.00,-5.7777,-80.914,11,4.5
2005-11-18,09:45:49.00,-5.046,-81.4671,15,4.5
2005-11-18,17:22:02.00,-5.8381,-81.1039,26,4.6
2005-11-18,18:37:44.00,-4.6949,-80.9935,34,4.5
2005-11-19,19:06:16.00,-4.9454,-81.2137,34,4.6
2005-11-21,16:27:03.00,-5.2381,-80.3815,76,4.5
2005-11-27,10:35:50.00,-4.3392,-80.6643,63,4.9
2005-11-28,06:44:56.00,-4.3296,-81.3764,24,4.9
2005-12-01,07:15:01.00,-4.4697,-80.7554,38,4.8
2005-12-02,03:48:36.00,-4.4161,-79.8443,11,4.5
2005-12-02,05:02:36.00,-5.7221,-80.8894,22,4.5
2005-12-04,12:00:24.00,-4.6618,-80.2216,75,4.6
2005-12-06,17:41:54.00,-5.0734,-80.205,59,4.5
2005-12-08,23:30:35.00,-4.8344,-80.8474,50,4.5
2005-12-09,11:40:43.00,-5.236,-81.2699,40,4.6
2005-12-10,17:36:24.00,-4.8247,-80.9126,52,4.9
2005-12-11,16:52:24.00,-5.0449,-80.2425,86,4.5
2005-12-14,05:45:12.00,-4.9098,-81.0579,25,4.5
2005-12-14,09:26:55.00,-4.5379,-81.5259,30,4.6
2005-12-17,23:41:16.00,-5.4709,-80.3212,61,4.5
2005-12-23,00:15:52.00,-5.748,-80.4123,14,4.5
2005-12-25,07:25:06.00,-5.4102,-81.1076,42,4.5
2005-12-29,01:00:44.00,-4.7933,-80.5795,25,4.5
2006-03-10,12:57:10.00,-5.434,-80.937,69,4.4
2006-05-19,17:53:46.00,-4.7382,-81.0048,31,4.9
2006-06-22,20:40:35.00,-4.9503,-80.8738,30,4.6
2006-10-09,19:15:40.00,-4.5244,-80.1748,72,4.5
2006-10-15,18:59:58.00,-4.607,-79.926,10,4
2006-11-07,07:49:51.00,-4.4309,-81.0494,20,5
2006-12-24,01:54:51.00,-4.6549,-80.9629,29,4.5
2007-02-26,03:59:47.00,-4.8325,-81.0368,40,5
2007-04-09,19:20:16.00,-4.9512,-80.164,71,4.5
2007-05-15,00:01:15.00,-4.4571,-80.7362,35,4.7
2007-08-17,16:38:45.00,-4.9415,-80.8165,42,4.6
2007-09-28,02:42:35.00,-5.8616,-81.0472,29,5.2
2007-10-13,01:35:00.00,-5.6693,-80.0458,75,5
2007-10-30,04:27:32.00,-5.1935,-81.1275,33,4.9
2007-10-30,06:48:20.00,-5.2296,-81.0726,26,4.5
2007-11-28,04:29:56.00,-4.3658,-80.6995,31,4.5
2007-12-25,04:31:30.00,-4.6578,-80.1786,60,4.8
2008-01-19,03:03:27.00,-4.931,-80.3123,43,4.5
2008-02-16,15:59:29.00,-4.7805,-80.8941,40,4.5
2008-06-02,17:16:05.00,-5.1082,-80.7621,42,4.5
2008-08-06,00:16:19.00,-5.1383,-80.9834,19,4.5
2008-08-18,15:40:46.00,-5.8259,-80.9801,20,4.8
2008-12-21,15:49:11.00,-5.5439,-81.4772,58,4.9
2009-01-01,23:02:16.00,-4.9715,-80.7119,9,4.5
2009-02-14,05:24:53.00,-5.7189,-81.0609,28,5
2009-03-02,00:39:22.00,-4.4265,-80.8878,26,5.2
2009-03-26,17:35:11.00,-5.8499,-81.587,10,6
2009-04-09,22:20:56.00,-4.328,-80.3286,42,4.5
2009-06-23,23:45:34.00,-4.9121,-80.4459,56,4.5
2009-07-07,18:27:30.00,-5.7877,-79.9864,76,4.5
2009-08-27,14:56:37.00,-5.5668,-81.3304,11,5.4
2009-08-29,17:08:16.00,-5.3918,-80.3928,36,4.5
2009-10-15,01:43:05.00,-5.0305,-80.4224,34,5.3
2009-11-07,19:39:20.00,-4.3933,-81.6048,34,5
2009-12-17,09:23:42.00,-5.5818,-80.7892,26,4.5
2010-01-16,08:12:12.00,-5.2365,-80.7047,48,4.7
2010-02-13,19:27:33.00,-4.915,-80.352,43,4.7
2010-03-27,23:50:19.00,-4.762,-80.73,50,5
2010-03-28,02:03:07.00,-4.9388,-80.8846,19,4.5
2010-05-03,06:12:37.00,-4.3918,-80.8877,28,4.9
2010-06-05,17:16:59.00,-5.075,-80.8811,5,4.5
2010-07-04,16:43:25.00,-4.9954,-80.2754,36,4.6
2010-07-08,13:10:06.00,-4.7642,-80.8084,28,4.5
2010-08-02,01:13:34.00,-4.6723,-80.8641,51,4.5
2010-08-17,03:22:55.00,-5.6959,-79.9184,64,5.5
2010-08-22,06:13:45.00,-4.8943,-81.0389,30,4.9
2010-09-09,21:25:59.00,-4.8388,-81.0882,56,4.6
2010-09-11,18:55:21.00,-4.4829,-80.8497,15,5.4
2010-10-19,10:20:15.00,-4.4973,-81.545,49,4.6
